gene.symbol.x	ID	chebi.name	chebi.identifier	edge_db	row	gene.symbol.y	analyte1	column	analyte2	cor	p	n	p_adj	edge	chebi.name.child	chebi.id.child	identifier.rank	length.child	chebi.id.ancestor	length.ancestor	chebi.name.ancestor	edge_ancestor2	database
SLC35D1	RHEA:72703	UDP-alpha-D-galactose	CHEBI:66914	SLC35D1_CHEBI:66914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ABHD10	RHEA:19233	hexadecanoate	CHEBI:7896	ABHD10_CHEBI:7896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ABHD10	RHEA:34179	D-glucuronate	CHEBI:58720	ABHD10_CHEBI:58720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
NUDT15	RHEA:23996	a ribonucleoside 5'-phosphate	CHEBI:58043	NUDT15_CHEBI:58043	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
SLC38A7	RHEA:71383	L-asparagine	CHEBI:58048	SLC38A7_CHEBI:58048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ETNK2	RHEA:13069	phosphoethanolamine	CHEBI:58190	ETNK2_CHEBI:58190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
TMLHE	RHEA:14181	2-oxoglutarate	CHEBI:16810	TMLHE_CHEBI:16810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
TMLHE	RHEA:14181	succinate	CHEBI:30031	TMLHE_CHEBI:30031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ARL8B	RHEA:19669	GDP	CHEBI:58189	ARL8B_CHEBI:58189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
PRMT7	RHEA:48100	S-adenosyl-L-homocysteine	CHEBI:57856	PRMT7_CHEBI:57856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
